Name,Country,Website,Description,Overview,Logo
291295=HOMME,Japan,http://www.291295.com/,"291295=HOMME creates men’s clothing, including shirts, pants and hats. They are well known for their urban wear – clothing that is slightly looser to make it easier to wear during the hotter summer clothes. The fabric is also thinner to make it more breathable. Though their clothing varies considerably, they also have a reputation for making clothing cuts (especially hats and jackets) that are inspired by military apparel. Much of their apparel is green.",291295=HOMME is a Japanese clothing company designed almost exclusively for men with a focus on urban wear.,http://www.291295.com/291295_wp/wp-content/themes/291295_pc/images/common/logo.png
A Bathing Ape,Japan,http://www.bape.com/,The Bathing Ape (BAPE) is a popular brand of Japanese clothing.,,https://bape.com/lib/img/templates/bape_logo.png
A-net,Japan,http://a-net.com/top/index_en.php,"A-net is a Japanese fashion label and clothing line that is home to many of the top brand produced in Japan each year. The design studio, which is the sister studio to Issey Miyake’s Miyake Design Studios is now home to a half dozen different major brands and a wide selection of smaller, individual brands.",,http://www.a-net.com/wp/wp-content/themes/a-net/images/common/logo.png
AS KNOW AS,Japan,http://www.asknowas.com,"AS KNOW AS de base (AS KNOW AS) (Japanese: アズノゥアズ ドゥ バズ) is a Japanese fashion brand. They have several other related brands that all start with the ""AS KNOW AS"" prefix.


The Japanese clothing company AS KNOW AS was founded in 1989 by two mysterious people, whose names are not listed on their website, and ever since it has rocked the Japanese fashion scene. Their goal is simple: to supply stylish, high quality casual wear for women to please their customers. The company carries five different clothing lines: AS KNOW AS de base, [AS KNOW AS olaca, AS KNOW AS Pinky, Nanashi, and, last but not least, AS KNOW AS de wan, their line of trendy accessories for dogs.

AS KNOW AS de base is their original line of clothes. This line pays special attention to detail while offering quality street-style clothing. Though the clothes are cute and pretty, they give off an adult aura, too.

AS KNOW AS olaca is AS KNOW AS's plus size line. ""olaca"" is another way to spell the Japanese word ""ooraka"", which means ""big hearted"". This line features a variety of plus sized women's clothing that flatters the figure.

AS KNOW AS Pinky is the line for any young woman who pays special attention to detail. The clothes are basic, colorful, and are made from the finest materials. According to AS KNOW AS's website, this line is great for ""spicing up one's wardrobe"".

If a woman is looking for a flexible, sharp, mix-and-match look, they need look no further than AS KNOW AS's Nanashi line. This line is both adult and feminine, as well as suitable when one needs to be a little dressed up. This line features mostly clothes that are black and white.

Finally, AS KNOW AS has their own dog clothing line called AS KNOW AS de wan (""wan"" is Japanese for ""woof""). This adorable line of trendy dog clothes and accessories is excellent for a young woman who wishes for her dog to be as dressed up as she is. Some of the doggie accessories even match items from the other clothing lines!

AS KNOW AS features a variety of stylish, trendy clothes in a variety of colors and sizes. They have something for just about everyone and their dog! If you're looking for both high fashion and versatility, AS KNOW AS is a good bet in the world of Japanese fashion.",,http://www.asknowas.com/top/1.jpg
Alchemist,Japan,,,,
Alfredo Bannister,Japan,http://abahouse.co.jp,"Alfredo Bannister is a Japanese fashion brand that specializes in men’s shoes. Well known for its high quality, Italian inspired designs, Alfredo Bannister has become a top producer of men’s shoes in Tokyo and around the world.",,http://abahouse.co.jp/cmn/img/header_siteIdentity.png
,,,,,
Alice Auaa,http://www.virtualjapan.com/wiki/Alice_Auaa,http://www.alice-auaa.co.jp,"Alice Auaa is a Japanese Gothic Lolita fashion label and clothing brand. The brand, first started in 1993 with the opening of “Alice in Modern Time” in Kobe, Japan has grown to become a premiere location to find and acquire high-end Japanese fashion made in the 19th century style Lolita fashion.",,http://www.alice-auaa.com/pict/topimage.jpg
Angelic Pretty,http://www.virtualjapan.com/wiki/Angelic_Pretty,http://www.angelicpretty.com,"Angelic Pretty is a Japanese Sweet Lolita clothing brand. Angelic Pretty is an offshoot of the Lolita style that was started in the 1970s by brands such as Milk and Pink House. The idea behind the Lolita Style is to create clothing very similar in style to those clothes worn by younger women in 19th century settings such as Anne of Green Gables or Little House on the Prairie, though much has been done to modernize the appeal of the style since then.",,http://www.angelicpretty.com/img/logo01.gif
Atelier Boz,http://www.virtualjapan.com/wiki/Atelier_Boz,http://www.boz.ne.jp,"Atelier BOZ is a Japanese Gothic Lolita fashion brand and clothing label. Founded by Takashi Shibata, the brand has become well known since its initial creation in 1995 as a purveyor of sleekly cut, well shaped gothic items. Black is usually the color of choice, but unlike many other gothic clothing brands, Atelier Boz remains fairly simple and elegant.",,http://www.boz.ne.jp/images/logo.gif
